user_id,item_id,rating,timestamp,title,brand,category
A27ZH1AQORJ1L,000100039X,5,1066003200,The Prophet,Kahlil Gibran,"['Literature & Fiction', 'Poetry']"
A1T9MNWGNBWGUT,000100039X,5,1392076800,The Prophet,Kahlil Gibran,"['Literature & Fiction', 'Poetry']"
A2X44AITMRTNC4,000100039X,5,981676800,The Prophet,Kahlil Gibran,"['Literature & Fiction', 'Poetry']"
A1NMACQTGPFZM9,000100039X,5,1030492800,The Prophet,Kahlil Gibran,"['Literature & Fiction', 'Poetry']"
A34MZG6QZCHFCO,0002051850,3,1341619200,For Whom the Bell Tolls,ernest hemingway,"['Literature & Fiction', 'Classics']"
ADSKDZXN59FE5,0002051850,5,955324800,For Whom the Bell Tolls,ernest hemingway,"['Literature & Fiction', 'Classics']"
A4MX5J20DCKDB,0002111306,3,1161734400,The companion guide to Rome,Georgina Masson,"['Travel', 'Europe']"
AIIQPI3TRJX2N,0002153211,5,1049673600,A Day in the Life of China,David Cohen,"['History', 'Asia']"
A11423AYVMMC4K,0002178559,1,1143936000,Demanding the Impossible: A History of Anarchism,Peter H. Marshall,"['Business & Money', 'Economics']"
A1VZ0ANWLEAPEB,0002219417,5,1399248000,The Winds of War,Herman Wouk,"['Literature & Fiction', 'Contemporary']"
A1WB5NZYY5XR8A,0002242052,4,982972800,Without Remorse,Tom Clancy,"['Literature & Fiction', 'Genre Fiction']"
A3QWNQ2WA7QZYJ,0002242052,2,954201600,Without Remorse,Tom Clancy,"['Literature & Fiction', 'Genre Fiction']"
A1BVV2K1BKGPD5,0002242052,5,1053475200,Without Remorse,Tom Clancy,"['Literature & Fiction', 'Genre Fiction']"
A1LBB6NJO9WZEZ,0002242052,5,1204502400,Without Remorse,Tom Clancy,"['Literature & Fiction', 'Genre Fiction']"
A2O7MOWVMSKO5J,0002243768,5,966902400,Furnace,Muriel Gray,"['Literature & Fiction', 'Genre Fiction']"
A3FEYJ4CXJ8ILY,0002247399,5,1401926400,A Dance with Dragons,George R.R. Martin,"['Science Fiction & Fantasy', 'Fantasy']"
